Var1,Var2,Var3,Freq
Derby,horizontal,T1,74
Dolar,horizontal,T1,82
Middle_East,horizontal,T1,0
Middle_West,horizontal,T1,63
PC_I,horizontal,T1,57
PC_II,horizontal,T1,46
PE_I,horizontal,T1,56
PE_II,horizontal,T1,48
PP_I,horizontal,T1,92
PP_II,horizontal,T1,72
Shallow_West,horizontal,T1,80
Derby,vertical,T1,48
Dolar,vertical,T1,70
Middle_East,vertical,T1,0
Middle_West,vertical,T1,51
PC_I,vertical,T1,27
PC_II,vertical,T1,19
PE_I,vertical,T1,42
PE_II,vertical,T1,23
PP_I,vertical,T1,37
PP_II,vertical,T1,43
Shallow_West,vertical,T1,43
Derby,horizontal,T2,0
Dolar,horizontal,T2,0
Middle_East,horizontal,T2,37
Middle_West,horizontal,T2,49
PC_I,horizontal,T2,76
PC_II,horizontal,T2,63
PE_I,horizontal,T2,70
PE_II,horizontal,T2,47
PP_I,horizontal,T2,105
PP_II,horizontal,T2,42
Shallow_West,horizontal,T2,71
Derby,vertical,T2,0
Dolar,vertical,T2,0
Middle_East,vertical,T2,26
Middle_West,vertical,T2,24
PC_I,vertical,T2,15
PC_II,vertical,T2,12
PE_I,vertical,T2,32
PE_II,vertical,T2,13
PP_I,vertical,T2,21
PP_II,vertical,T2,17
Shallow_West,vertical,T2,43
