"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: MASR",0.901869158878505,0.973461321287408,0.804166666666667,0.987965616045845,0.804166666666667,0.901869158878505,0.850220264317181,0.107808564231738,0.0972292191435768,0.120906801007557,0.937665240082956
"Class: MAAR",0.967032967032967,0.994453688297282,0.946236559139785,0.996664813785436,0.946236559139785,0.967032967032967,0.956521739130435,0.0916876574307305,0.0886649874055416,0.0937027707808564,0.980743327665125
"Class: MAENRC",0.709401709401709,0.992575671045117,0.927374301675978,0.96234772978959,0.927374301675978,0.709401709401709,0.803874092009685,0.117884130982368,0.0836272040302267,0.090176322418136,0.850988690223413
"Class: MAFR",0.832,0.964516129032258,0.611764705882353,0.988429752066116,0.611764705882353,0.832,0.705084745762712,0.0629722921914358,0.0523929471032746,0.0856423173803526,0.898258064516129
"Class: CNTR",0.979452054794521,0.992387166938554,0.910828025477707,0.99835886214442,0.910828025477707,0.979452054794521,0.943894389438944,0.073551637279597,0.0720403022670025,0.0790931989924433,0.985919610866537
"Class: MAEFR",0.666666666666667,0.996141124586549,0.942148760330578,0.969420600858369,0.942148760330578,0.666666666666667,0.780821917808219,0.0861460957178841,0.0574307304785894,0.0609571788413098,0.831403895626608
"Class: SPMSI",0.75,0.985615343633458,0.749999999999999,0.985615343633458,0.75,0.75,0.75,0.0544080604534005,0.0408060453400504,0.0544080604534005,0.867807671816729
"Class: CNCAC",0.837837837837838,0.999466382070438,0.98936170212766,0.990481226864093,0.98936170212766,0.837837837837838,0.907317073170732,0.055919395465995,0.0468513853904282,0.0473551637279597,0.918652109954138
"Class: SC",0.758064516129032,0.97711908476339,0.516483516483516,0.99208025343189,0.516483516483517,0.758064516129032,0.61437908496732,0.0312342569269521,0.0236775818639798,0.0458438287153652,0.867591800446211
"Class: AUC",0.926470588235294,0.985915492957746,0.7,0.99736147757256,0.7,0.926470588235294,0.79746835443038,0.0342569269521411,0.0317380352644836,0.0453400503778338,0.95619304059652
"Class: ESS",0.948275862068966,0.990659055526726,0.753424657534247,0.998430962343096,0.753424657534247,0.948275862068966,0.83969465648855,0.0292191435768262,0.0277078085642317,0.0367758186397985,0.969467458797846
"Class: MOB",0.898550724637681,0.997390396659708,0.925373134328359,0.996350364963504,0.925373134328358,0.898550724637681,0.911764705882353,0.0347607052896725,0.0312342569269521,0.0337531486146096,0.947970560648694
"Class: ASC",0.949152542372881,0.997923156801661,0.933333333333332,0.998441558441558,0.933333333333333,0.949152542372881,0.941176470588235,0.0297229219143577,0.0282115869017632,0.0302267002518892,0.973537849587271
"Class: CBW",0.896551724137931,1,1,0.996896016554578,1,0.896551724137931,0.945454545454545,0.0292191435768262,0.0261964735516373,0.0261964735516373,0.948275862068966
"Class: AUS",0.779661016949153,0.997923156801661,0.919999999999999,0.99328165374677,0.92,0.779661016949153,0.844036697247706,0.0297229219143577,0.0231738035264484,0.0251889168765743,0.888792086875407
"Class: MAENG",0.959183673469388,0.99845041322314,0.940000000000002,0.998966408268734,0.94,0.959183673469388,0.94949494949495,0.0246851385390428,0.0236775818639798,0.0251889168765743,0.978817043346264
"Class: MAEN",0.794871794871795,0.992805755395683,0.68888888888889,0.995876288659794,0.688888888888889,0.794871794871795,0.738095238095238,0.019647355163728,0.0156171284634761,0.0226700251889169,0.893838775133739
"Class: ESUR",0.693877551020408,0.997933884297521,0.894736842105261,0.992295839753467,0.894736842105263,0.693877551020408,0.781609195402299,0.0246851385390428,0.0171284634760705,0.0191435768261965,0.845905717658964
"Class: MASG",0.970588235294118,0.998974884674526,0.942857142857143,0.99948717948718,0.942857142857143,0.970588235294118,0.956521739130435,0.0171284634760705,0.016624685138539,0.017632241813602,0.984781559984322
"Class: MASB",0.962962962962963,0.999489274770174,0.962962962962966,0.999489274770174,0.962962962962963,0.962962962962963,0.962962962962963,0.0136020151133501,0.0130982367758186,0.0136020151133501,0.981226118866568
"Class: MAECG",0.807692307692308,0.998468606431853,0.875,0.997450280469148,0.875,0.807692307692308,0.84,0.0130982367758186,0.0105793450881612,0.0120906801007557,0.90308045706208
"Class: MALCB",0.769230769230769,0.998979070954569,0.909090909090906,0.996943453897096,0.909090909090909,0.769230769230769,0.833333333333333,0.0130982367758186,0.0100755667506297,0.0110831234256927,0.884104920092669
"Class: EOBSS",0.666666666666667,0.99899091826438,0.500000000000013,0.999495204442201,0.5,0.666666666666667,0.571428571428572,0.00151133501259446,0.00100755667506297,0.00201511335012594,0.832828792465523
"Class: ASS",0.333333333333333,1,1,0.998991935483871,1,0.333333333333333,0.5,0.00151133501259446,0.000503778337531486,0.000503778337531486,0.666666666666667
"Class: SHAD",NA,0.999496221662469,NA,NA,0,NA,NA,0,0,0.000503778337531486,NA
"Class: BRY",0,1,NA,0.997481108312343,NA,0,NA,0.00251889168765743,0,0,0.5
